question,intent,response
"What is dialysis?","info","Dialysis is a treatment that removes waste from blood."
"Can I eat banana?","diet","Banana intake should be limited for dialysis patients."
"What is creatinine?","health","Creatinine is a waste product filtered by kidneys."
"I feel tired","symptom","Fatigue is common. Please consult your doctor."
"What should I eat?","diet","You should eat kidney-friendly foods low in sodium and potassium."
"Is drinking water good?","health","You should monitor your fluid intake based on your doctor's advice."
"I have chest pain","emergency","Please seek emergency medical help immediately!"
"What are the symptoms of kidney failure?","info","Symptoms include fatigue, swelling, and changes in urination."
"Can I eat oranges?","diet","Oranges are high in potassium and should be avoided or limited."
"What foods are low in potassium?","diet","Apples, berries, and cabbage are good low-potassium options."
"How often do I need dialysis?","info","Dialysis frequency depends on your condition, usually 3 times a week."
"My blood pressure is high","health","High blood pressure can affect kidneys; please consult your doctor."
"I feel dizzy","symptom","Dizziness could be related to fluid levels or blood pressure. Consult a doctor."
"Can I skip dialysis?","emergency","Skipping dialysis is dangerous. Please stick to your schedule."
"What is eGFR?","info","eGFR measures how well your kidneys are filtering waste."
